# Position (cm), Field Strength (mT)
7.400000000000000000e+01,2.473000000000000043e+01
7.450000000000000000e+01,2.412000000000000099e+01
7.500000000000000000e+01,2.351000000000000156e+01
7.550000000000000000e+01,2.305999999999999872e+01
7.600000000000000000e+01,2.260000000000000142e+01
7.650000000000000000e+01,2.230000000000000071e+01
7.700000000000000000e+01,2.169000000000000128e+01
7.750000000000000000e+01,2.123999999999999844e+01
7.800000000000000000e+01,2.092999999999999972e+01
7.850000000000000000e+01,2.048000000000000043e+01
7.900000000000000000e+01,2.017999999999999972e+01
7.950000000000000000e+01,1.971999999999999886e+01
8.000000000000000000e+01,1.957000000000000028e+01
